,SDL 1,SDL 2,SDL 3,SDL 4,SDL 5,SDL 6,SDL 7,SDL 8,SDL 9,SDL 10,SDL 11,SDL 12,SDL 13,SDL 14,SDL 15,SDL 16,SDL 17,SDL 18,SDL 19,SDL 20,SDL 21,SDL 22,SDL 23,SDL 24,SDL 25,SDL 26,SDL 27,SDL 28,SDL 29,SDL 30,SDL 31,SDL 32,SDL 33,SDL 34,SDL 35,SDL 36,SDL 37,SDL 38,SDL 39,SDL 40,SDL 41,SDL 42,SDL 43,SDL 44,SDL 45,SDL 46,SDL 47,SDL 48,SDL 49,SDL 50
CK 1,1.6043386238276915,4.137468375503748,9.273702208432777,4.351024042313758,2.7547018437702864,4.5319059214835,8.314680301376606,8.923671240810785,5.175577638927652,7.268278588869403,8.803911063871755,6.776944071064638,2.1287199573361977,5.691072869160321,9.78954078927688,8.47226540460721,4.166631188753496,3.7029006225523604,9.497328916590707,5.677048068571714,6.222768130256433,4.4573596202967405,4.116666759063982,5.195342511867999,8.31525767805355,3.903610249137334,3.1777045585047916,0.5287383571132402,9.108962573481724,8.07774906073844,7.54005415045496,6.834023025997226,5.090136961405606,3.9383382765034347,4.090619550951546,8.339231875759832,4.922923323495935,2.770888805556457,9.641347356144204,9.214034439041283,4.391897371971992,9.805358493313875,7.143510153298537,3.741813833313787,5.883469136910322,4.581112460839092,4.592918399836582,5.298453439487428,5.740474513995626,10.18255041962488
CK 2,3.84898101558644,1.4899419392841982,5.922257253229637,4.891608872831987,1.0409151059605237,5.802091560481638,4.893588520822654,5.560400802359673,2.2941844553200177,3.620082365528801,5.113950532314939,3.445645499542508,1.9618599466253104,3.136848598307203,6.090855012548852,4.781574975139568,5.376327707417037,3.972845195863065,5.911872044773711,2.175999698436348,3.811112159759072,5.313289787246407,2.493951840493801,2.2609474201782285,4.608927990091254,3.833288503755102,4.35188849394053,3.2623085198510897,5.922375237829382,5.242967479264439,3.934198276739796,3.591875735185315,2.3999356331504202,3.9498818814012204,5.594351208212905,4.813154717497272,5.012929537878687,1.7371656193432485,6.061533342332584,5.584802393366564,2.5642212105052398,6.18489880307644,3.7093006073557544,1.4721274750718205,3.166973446451823,3.743203545285561,1.816617375543826,2.2302224191402944,2.0400168764088544,6.97886758273776
CK 3,3.706813572238687,1.1141813220253558,7.171363354318186,5.443344221045349,0.639719711639764,6.180341409765223,5.287618434440109,6.8092256960544235,3.5703780577765234,4.741745164194172,5.927093762749128,4.722413628331102,2.067504037084195,4.388924586498095,6.928960045201792,5.601580826890103,5.749415117642852,2.693255978067532,7.0580395151651105,2.7018606027113514,5.057808017117724,5.7950576642298675,3.4759350020218642,3.5428673974864573,5.525522967978676,2.5832951352225546,3.0580942520593433,2.513965612233159,7.20230775037658,6.540363436441891,5.091950024923664,3.8053277011206967,3.6503314627932246,4.585022456716418,5.8846497897909575,5.33153625490452,5.709044523190066,0.4536733886919403,6.646087841910478,6.695957394112711,1.723017374210159,7.298381355502235,4.958174101782815,0.7454989441052972,2.937804329370914,4.618669914344659,1.5762771153493826,2.2703349583512704,3.107727137102915,8.25150392682926
CK 4,3.8528514666858986,4.069924854636154,4.831778733037169,3.1771374684774063,3.182142486646813,4.304885792043352,6.440034850941471,4.514491858221356,0.9968249974898693,3.693096053035332,5.829310527964996,2.571945003277555,2.6239864068975907,1.020896842675881,6.619767857701342,5.531434027504501,3.9523444290604925,6.387608371877393,5.426250022654983,4.06891463195264,1.5270704409358749,3.675439927083677,0.6364524263417448,1.0721689247876256,5.138192120846847,6.307319966606871,6.5645552515676195,4.493305123087688,4.534312409814855,3.3899944123476407,3.754060402513011,5.539990900291549,0.7355111606361846,2.266586239113782,4.3054181458983,6.16966695445568,2.9803946755604134,4.08289446094228,7.157980589120528,5.296481492152284,5.160516972476873,5.811924601309582,3.0315788281865363,4.0650474885569645,5.538437862178384,1.5372825328598836,4.332611691760362,4.547887757430718,3.0000764093244223,5.5875949521214645
CK 5,5.2460905052775,5.126838044698487,3.6495694568311596,3.971730744933736,4.5225812892089206,5.113460382957579,6.588177267545832,3.379754447003882,1.4940141627656958,3.348321313901854,5.540063153531276,1.954821984855806,4.100865599385188,0.6243640578169691,6.162329212976066,5.29079907867354,4.839421112837515,7.6979894257768136,4.508928275442576,4.656879801988402,0.05195762374490156,4.457293739552622,2.067881316188635,1.5462914781048362,4.815756296328828,7.5825492791563445,7.952260492694347,5.97119904620006,3.2320026749916804,1.95931627433532,3.2412971778485193,6.005151505308453,1.3602168005973876,3.2493025678881877,5.2352093969748745,6.2227289137507915,3.536923019185326,5.39984291439581,6.9899629205544365,4.497050840373988,6.2448734327718665,4.924378605225777,2.3859830638055306,5.210630155669086,6.3053267678721125,2.30002633001712,5.294866938687963,5.335804630241789,3.3613304626019227,4.2405859899959095
CK 6,3.891926936529991,2.9155773011358206,4.9426058418078735,4.013711472879568,2.2456370029029187,5.070565711566761,5.460922900877661,4.5920797397009085,0.9065163205809311,3.1641008121839596,5.123148801560592,2.4482281266849295,2.2171819330633222,1.6828131920142155,6.004822107785733,4.804082939065784,4.675076074660745,5.399193576826071,5.236811343946563,2.9544020507378326,2.3514912198927385,4.490404945792588,1.3026562706326812,0.9023212800381799,4.484706793188609,5.283376285061009,5.684507250376962,4.010250757597988,4.807464491810625,3.9283910200824788,3.3481440330943135,4.442104918948829,0.9452213057082989,3.0478590875747247,4.975118847113989,5.244875617867884,3.9611044758276477,3.1059666147721967,6.33726850100284,5.007809758929283,4.0195348594931914,5.577328180438794,2.8338147032272203,2.9450734570509907,4.369128937579362,2.5580767760096284,3.161484949934141,3.379605075329971,2.053732729677416,5.882369752124681
CK 7,1.864032171786764,3.852368083282496,6.798027706455714,2.4336521886286615,2.3764819955548795,3.2694649709614407,7.338966803021723,6.468709484241875,2.721153283579358,5.269962269823437,7.207391631655731,4.4120524647783,1.0511223934015215,3.023704074712718,8.106595223414079,6.88354995148963,2.8417607616148244,5.283492027618745,7.2674854060067124,4.658946258807432,3.4833870860463514,2.81225833531612,1.3762150164159752,2.7669544291389094,6.584838453981561,5.3073810198948195,5.205142792750401,2.6940734799457253,6.531552803401156,5.3832781421150155,5.435346217933437,6.114968431414111,2.5539235924013917,1.5826930599042355,3.060173692259434,7.192027057506987,2.713999872642386,3.17433338201606,8.357968808199482,7.07428841780758,4.726118237857427,7.6278984869795465,4.842346471020679,3.644959494293508,5.664131625090932,1.877828460632206,4.264040250839891,4.759060526547763,4.076237671350426,7.588931792041798
CK 8,4.944787955057245,4.188929854182957,3.7178974082957996,4.215266888473282,3.7140703176832113,5.359760766087909,5.753283557531328,3.392890562131002,0.5776810165936282,2.7011716355946445,4.890547128790605,1.4601312008979257,3.5305819668670546,0.40311460296893525,5.614029344454252,4.6134493057835915,5.029128822577182,6.838610732287269,4.297158447646873,3.705185902244,1.0085452733660303,4.715327927688001,1.7575227910838624,0.6114466487654132,4.177699691917603,6.703987721157298,7.152115097303006,5.387147767419521,3.4675986437184845,2.4691451661227988,2.698863003617097,5.079774110398024,0.5675968657111902,3.3521104282262826,5.396568089799877,5.420431312879198,3.917810983720854,4.561555567370456,6.288413039185689,4.182956057737393,5.307035920291291,4.686959750259076,1.9252574993737877,4.295020969566271,5.343617592837507,2.513937440184568,4.34079541167561,4.372886595794459,2.4332689024982437,4.536032715109858
CK 9,3.212082685146446,1.6747408153623307,7.528016097084644,5.136568749805361,0.6110162124252932,5.801061048412791,5.852566843233616,7.166243897812028,3.7531111863075544,5.182022072504805,6.4585324704012175,5.044419039614216,1.725530055525523,4.523117818819663,7.458055808189838,6.131009803507519,5.372920284408943,2.6418165660187203,7.49062701118104,3.252619685973776,5.1770865139401225,5.456772606084001,3.4216174859205073,3.736765298660476,6.035191349986785,2.6065681162862,2.8302641025124498,1.9489187090084035,7.515421239013798,6.7656675610611,5.515306092246404,4.3693673812914025,3.79422614941274,4.327709000556629,5.479497098558397,5.892798309262912,5.459180357324281,0.44178591019350866,7.205055247820183,7.145201024407337,2.139728437482119,7.747380312804399,5.315419849833533,1.2893221825386254,3.4715273256085886,4.473993100615518,2.1340057873023084,2.833975334134957,3.560293961312011,8.576672963189061
CK 10,0.855867132169338,4.4203068174974725,7.820653080353994,2.305012367606967,2.8376134207396735,2.7975452437554407,8.183422858239277,7.494462783389578,3.755303525540247,6.284853434391007,8.17637971137279,5.446307136936334,1.3918748550391562,4.020378878768566,9.093311328588356,7.849266693793425,2.37440218434643,5.272428112914417,8.301666025528549,5.4711168321914645,4.431959272570419,2.5236683018208756,2.3658803259074994,3.801365808997494,7.571431344045134,5.364659461069927,5.009841289987187,2.2271253215112377,7.535903240999521,6.348000379545341,6.461097207673003,6.87952013335123,3.584055718503394,1.7982494314407613,2.466069388538823,8.073805604026727,2.8140263302920867,3.4538066993049497,9.276849529749022,8.105439985813675,5.136014268178364,8.661048725072316,5.876605705237595,4.138888365663706,6.279060048258879,2.496579143388166,4.865974715228258,5.442417511646219,5.026156801201692,8.585882562449333
CK 11,5.620602184632882,2.0203933088736448,4.716872704133337,6.223306020505386,2.767237968687239,7.252204500089088,3.2582039902083606,4.363868545523448,2.4480533949837837,2.092178545619753,3.301533412041002,2.5646827433256516,3.7357247209582614,3.2528699873969096,4.284553590580804,2.9693489609659176,6.844755807362516,4.974471967892512,4.393674381290399,0.8457637849211124,3.852684108121365,6.691950076686579,3.523033151646037,2.373221984172951,2.8257199450217727,4.729364262438547,5.595862410180493,5.041817407636981,4.904102864071504,4.647247455712806,2.4817361824875412,2.261738790509008,2.696233290445814,5.255358544461281,7.117711419464662,3.0904326405711346,6.180296728616274,3.157892459841261,4.284274711918625,4.003733438138284,2.9764823014643196,4.603885117616788,2.6097482832053287,2.3512875699130955,2.536398162323913,4.764747274693551,1.9015926845031976,1.632476937761102,0.5465934745589253,5.8778765327312925
CK 12,5.408749276360446,2.5595736835436145,4.1807739434068125,5.686150631899654,2.8941918088266787,6.757281076325939,3.8188314908220486,3.820151342541715,1.719119406050179,1.764499732632321,3.470809952632344,1.8610403688149875,3.571615872172942,2.488687600469251,4.393231416112911,3.1450712665632397,6.364242254696435,5.489928467705498,4.0608649710537685,1.62647950115793,3.075542483785891,6.169023036460278,2.9522962384035862,1.6412649567226656,2.87458753543884,5.275259872473035,6.027169058169212,5.098266947288357,4.287688362890398,3.9119745474065666,2.0843958336135024,2.9934707500015225,1.9801445471489563,4.725100931925378,6.664793645305174,3.570042335674079,5.580535382997012,3.4714870905689112,4.647760387320942,3.7288838492807,3.6077551187687518,4.329031780524818,1.9904428255777662,2.8191571418172936,3.31330709221514,4.1446307517181165,2.545061489367432,2.3858210123675088,0.3769691531638357,5.302061755019542
CK 13,1.3320967047977732,5.049807205647008,7.751854915097398,1.5318937277645572,3.4969707911633177,2.0702136093847385,8.635421797071729,7.443362783270528,3.822551978475073,6.470305839755893,8.466167754719576,5.49155286469775,2.0433904409232375,3.915817902137828,9.345847678818622,8.145560550478395,1.6398726237776267,6.0488935824775485,8.355580390414577,5.951411197983738,4.222325158362079,1.74906307053162,2.32348611861688,3.8807839757386313,7.8273978474870205,6.135983005436931,5.785897711245852,2.9846788349634936,7.403469248306536,6.135473931364907,6.600838429910755,7.39948258230342,3.610884256759704,1.1797721149461278,1.7951052900840663,8.486713464720536,2.0781564686650014,4.177448946983055,9.643558215327253,8.202089421413561,5.831760943297485,8.733947348916708,5.942161644191453,4.798610877214097,6.892191532311744,2.0479434964711287,5.481205026973548,6.01473540554949,5.355054294185902,8.426458955815868
CK 14,4.115394095594927,2.5752780806336157,9.121631442278423,6.528433719857735,2.361466174674397,6.99807401552863,6.5161532794755015,8.759822203757679,5.494186499852381,6.625069710980423,7.541577232680447,6.686490800146325,3.240281910218296,6.278806602383223,8.541364820605544,7.2321855393370935,6.59030742940932,1.026114095638667,8.938023939124157,4.299118200634546,6.935168679749693,6.770447678325785,5.14654827220878,5.473306515887155,7.24141683668814,1.1688614751541289,1.092879047815364,2.286417304781648,9.166423709164746,8.490830982563704,6.994408462557684,4.979711921179168,5.547008981520664,5.831146142439281,6.607516600660931,6.687172311737845,6.949716148641928,1.5221212029979851,8.010680097261789,8.551434501841218,2.1467571449138356,9.151023333091198,6.912023714276949,2.2022843499565727,3.7662328108696035,6.118879002102734,2.8840989401651376,3.570695794099853,4.993739482305486,10.212774925926654
CK 15,6.727143854813049,3.09047266680777,3.9337716262194213,7.047699110878683,3.9540514412784122,8.128967614140382,2.559817861628975,3.6068072508511175,2.965197522036493,1.239520602393268,2.1405333929993353,2.315906531710014,4.858150243828682,3.5941041139618535,3.107972023815591,1.8088028692007914,7.738822219090257,5.994383680284588,3.3682170689891295,1.4504850436577248,4.068455113546444,7.534325105332329,4.312370208798123,2.885762342605264,1.6382899962184447,5.720542867095095,6.680322224769696,6.226916316488899,4.260828090119006,4.345014268324156,1.6538004422828343,2.163176065280995,3.2368211758801597,6.091134345313655,8.042155930988107,2.2427153816993015,6.91082088345966,4.321486816797802,3.27025303239399,2.9380065118171252,3.8982163666835445,3.525233407480359,2.1435951004377074,3.4600952514346384,3.0022769697062315,5.468433170600412,2.8633096356227545,2.359709371463571,1.0312431674724896,5.129608066782882
CK 16,1.8388998186002325,3.0488321354115646,7.228137092714172,3.428781569792702,1.4675493823668042,4.1120098768289495,6.897139836006791,6.880238483009227,3.1236853877149584,5.3358129287241205,7.058623247033028,4.740566961606289,0.07662968590071718,3.661349203698366,8.012388336564815,6.727076451733733,3.6815405691627703,4.193686439885076,7.505697197115772,4.178109683771813,4.2244218933838695,3.7481583390302133,2.1641487480011645,3.144418525359885,6.5027343827389235,4.226247930308296,4.122525606447341,1.7967152506674389,7.056853668382811,6.044909223091666,5.574430500786567,5.547397042549242,3.040554949673035,2.650810457821969,3.8165362284056257,6.823163497272412,3.7796960775965585,2.15000566377561,8.064998322227499,7.2488738717652375,3.79005410427221,7.830985259621712,5.121467145786131,2.7705255349104694,4.908542163827546,2.9459624399284867,3.496001432009636,4.085534268144413,3.9123264108454143,8.130544456864087
CK 17,4.379494079893879,0.42946068755810396,6.915206588115666,5.976461570377829,1.2162941210590468,6.769636188807402,4.623356624066057,6.555122650038353,3.617125226392108,4.371474929021422,5.367985169967177,4.545458226027657,2.6709322078341153,4.4761792398474425,6.371978529825251,5.048376451461607,6.338124836770563,2.759506947183143,6.681480049537812,2.1126237562666565,5.151184290239794,6.352726241705107,3.8004455954344394,3.5758245729370626,5.015718113960647,2.566106400246969,3.3119245812340004,3.187662246771144,7.01073251653659,6.477606158579022,4.747015972189935,3.126928745399439,3.7443244069099904,5.08241358667417,6.494828777615984,4.6899596070254095,6.189990615462323,0.9825242146116612,6.011628113178265,6.293031698448504,1.2288605950957983,6.892662171483721,4.723272703432624,0.11339308782628012,2.2571021380727627,5.011075362830775,0.8879167726079615,1.5916161694980784,2.7465384138467672,8.035710787593226
CK 18,1.3216676343583726,3.608285320777688,8.394456539809536,3.80111703111461,2.088967397717135,4.183978833902649,7.705243378934684,8.04581852559503,4.29075133656382,6.442297731018362,8.0600220051665,5.902950124106575,1.2437629340536285,4.805325522785933,9.034050030472399,7.727624811016728,3.7811551373838164,3.8400849500613887,8.646617066010537,5.016897767227592,5.343753905767296,3.991312457733708,3.244268863013759,4.311767209062902,7.542005176988703,3.9688155536926217,3.5177435529560586,0.7534859735687902,8.22293437241629,7.191917995591927,6.6999733076784755,6.268920262193475,4.202817931166043,3.249505298954181,3.790316106963808,7.689209432592543,4.3055328425687645,2.356698339155903,8.970558269575527,8.375526410523323,4.066109842903128,8.96292970262756,6.277049432506771,3.2447052533617806,5.434692286726638,3.7961543881928437,4.072324847224339,4.745544808749443,4.952851912435096,9.296201053661596
CK 19,4.9188910401916575,0.16700498354332166,6.791603260621004,6.437673511440128,1.7394991607110135,7.262880147151278,4.118144305330632,6.435739677162133,3.778641642028676,4.171678998783498,4.975379345613147,4.512844504366534,3.183855115873389,4.6512959639820215,5.9770931848996876,4.663625813187583,6.831685512300012,2.893530320377592,6.454343337216045,1.7291516319831937,5.3219254406533665,6.827838873824095,4.14787584814623,3.728141304022303,4.674950616545267,2.6455266907738855,3.5632166500576785,3.7162944383548777,6.940761455013839,6.515996372099584,4.56534217352065,2.605759583722805,3.9373614842897804,5.525321270320091,7.000582174992244,4.211603869835834,6.618218759152243,1.484394793244809,5.53786818152644,6.044512610108996,0.979060093699393,6.6380964331187595,4.638966826744283,0.4977179276383879,1.717884306754001,5.389164827364189,0.3567553184707093,1.0787904973727678,2.594094194217015,7.939740235346017
CK 20,9.718919002849166,5.594206093963825,4.584501029968822,9.974426231097487,6.80177871112288,11.080677313032396,1.8439946605094253,4.442234673386341,5.810965927994629,3.201933394032457,1.0034968019950397,4.590569310152502,7.838425980682444,6.255612117342068,0.9291307543503698,1.2769057288675383,10.702078001320132,8.125858578854755,3.278003721840503,3.901698001030045,6.558553940166008,10.468655940587537,7.254678658979594,5.734838400951614,1.7278595130757828,7.795071132477507,8.964164023645553,9.068980952634128,5.224708892660271,6.045016542236951,3.3216798815274897,3.198310431177533,6.078038411229308,9.033632284407014,11.019324852189701,1.4617562505541055,9.77161783756443,6.975889013464486,0.6011567191819465,2.8568598211100262,6.005588299344846,3.0522818961995757,4.183697026384053,6.007076997398417,4.519061521896061,8.334611886382088,5.214636326332726,4.510548732189022,4.039152304881746,5.59494826395453
CK 21,10.025134795519337,5.59497050960077,5.645940232935841,10.551072567044338,6.964628811871942,11.62646634302998,1.4231272110266102,5.4861929301652435,6.446333469985133,3.9998486465125853,1.9184958208409266,5.408637566358316,8.136736288325649,6.986697619257727,1.9967590619949547,2.085199246877697,11.231717869419414,7.848548825504418,4.358121807120154,4.033165451810667,7.356223723117515,11.036590886629229,7.815582249240412,6.367656132129532,2.604287986003313,7.503296719546505,8.73494997286039,9.18181971847637,6.271236143226796,7.01502897160821,4.192885311554869,2.960311957891575,6.717887340137132,9.592906731312858,11.525123664677261,1.36374640942445,10.407854715647238,6.99847709133399,0.4865406143989653,3.926931073294597,5.804219441657394,4.13861136829764,5.038794381241793,6.0077673929907816,4.216290275839444,8.964746937154965,5.169558481607681,4.446157742157062,4.503116872870656,6.675684608544885
CK 22,7.883643931644307,3.6948164681615765,4.562400130787148,8.384713287634902,4.903742643615588,9.451868315642127,1.2432018198623997,4.294266527622904,4.32553109478943,2.1936852090713757,1.379806992781916,3.527758566069651,5.9955098017556,4.9398240580742305,2.3500869028279223,1.1235549789622667,9.054892516025827,6.332358368591482,3.613078760673698,1.9931798691627387,5.383642737705513,8.867245365538109,5.650391388208844,4.246075339348442,1.4063167724409193,6.015551722598221,7.133718728366068,7.165061224172401,5.040357912133595,5.417256898484007,2.521995319683876,1.5828487926094175,4.597098898705346,7.423340571378963,9.345900291582113,0.8823154170243731,8.264953374841584,5.069469650817368,2.0165631645068327,3.127489684771794,4.189419932163964,3.6106905858900813,3.250764295453961,4.105966059407598,2.8399269925312605,6.823648482221062,3.3310037919335733,2.645608021480408,2.328310050692731,5.738958424390535
CK 23,3.092976684978415,2.3123196506563177,8.361495735968894,5.384770220405423,1.4211720567107595,5.904024067711596,6.501239793179715,7.999927647116743,4.531699433676466,6.015441673760525,7.231440621963959,5.872308660654624,2.0807580653178404,5.2673735482164705,8.234140698752936,6.907013100363462,5.488445812124695,2.1693817608747485,8.326088297344588,3.9921294048024,5.9066052071002835,5.643997896378994,4.03302252991994,4.521101425574376,6.834059538966911,2.2411087586124103,2.1297823050277285,1.4414322137540647,8.338138451317432,7.5527805285324305,6.3516131439665635,4.984319296391659,4.550988276746977,4.671813776509663,5.5331798299386525,6.5833293956762615,5.792624790982354,0.913096995101624,7.906130191149332,7.977121780801711,2.427236889858492,8.579496809280004,6.150060772116572,1.8983466447010782,3.9498973490124274,4.965927038022053,2.7392854233378308,3.461836245876868,4.389452663135004,9.402281494734455
CK 24,2.3452358158549647,3.6338688244347614,9.278873078792937,5.0167239723211905,2.4584928539031505,5.287253489927928,7.829556707421749,8.921955399884787,5.255823939511197,7.104284940471121,8.478412959380517,6.768470782068867,2.3036973306174535,5.868474558546989,9.476351429220665,8.150017399485995,4.907599689446288,2.894092833583657,9.384107177628612,5.272846872067265,6.449525300784638,5.166720822240745,4.39317426053254,5.263477788007503,8.039586555462554,3.102175173348992,2.3837055873098736,0.5062610140836901,9.174864513418823,8.23938722203821,7.408737957659739,6.318300158741234,5.211331406913806,4.50368592982845,4.8583211581801375,7.896617627225669,5.546759281700029,2.2309862726760623,9.214890020974993,9.067802580410907,3.732630847790431,9.666769107829442,7.099076552055871,3.222838325714319,5.283405564544365,5.040302602487377,4.070339297377974,4.790913358852403,5.516024044231552,10.249460636961974
CK 25,6.797778089162816,2.032841726239193,7.077903460021511,8.24337058347216,3.623307298447172,9.113498480784944,2.790382708959461,6.753840356207976,5.06035389302523,4.386025582194188,4.27831715246767,5.235486956918438,5.0617416745069646,5.911489860090216,5.198709961816878,4.035372159822964,8.683463203498455,3.6582356612880806,6.380472477051912,1.8949429593106668,6.54083548958202,8.653625576597465,5.786371548431373,4.993027456957583,4.257839286965618,3.3120306643915214,4.555653018217728,5.4875740897930525,7.4005603212523745,7.329049347369302,4.801059496165745,1.3573097410572676,5.277887573178199,7.30693510855025,8.866865501061696,3.080178988913183,8.366831234329034,3.2550030769793405,4.342758389452284,5.910669482118483,1.70437153773742,6.446872566170689,5.193305225440721,2.349465617293328,0.19631325001487335,7.0582017600837155,1.590820220267694,1.187117118545538,3.2396396471014777,8.275078712436652
